coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
The Great Scenic Railway,"967 m (3,173 ft)",60 km/h (37 mph),Luna Park Melbourne,Operating,December 1912,Wood,LaMarcus Thompson,100 cm (3 ft 3 in),,16 m (52 ft),0.0,Cable lift hill,,3 trains with 2 cars. Riders are arranged 2 across in 5 rows for a total of 20 riders per train.,,,,,,,,,,,,,,,,,Official website,,,,,,,,,,1912-01-01,,,Wood,1912-12-01,60 km/h ,37 mph,60.0,km/h,37.3,16.0,m,52.5,0,
Roller Coaster (Lagoon),"762 m (2,500 ft)",45 mph (72 km/h),Lagoon Amusement Park,Operating,July 15 1921,Wood,,46 in (117 cm),,18.9 m (62 ft),0.0,Chain lift hill,,2 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,,,,,John A. Miller,,,,,,Double Out and Back,,,,,,,,,,,,,,,,1921-01-01,40.9849,-111.8951,Wood,1921-07-15,45 mph ,72 km/h,45.0,mph,45.0,18.9,m,62.0,0,
Yankee Cannonball,"609.6 m (2,000 ft)",56.3 km/h (35.0 mph),Canobie Lake Park,Operating,1930,Wood – Out and back,Philadelphia Toboggan Coasters,,,19.8 m (65 ft),,Chainlift,,,,,,,Herbert Paul Schmeck,,19.4 m (64 ft),,,,,,,,,,,,,,,,,,,,1930-01-01,42.7953,-71.2492,Wood,1930-01-01,56.3 km/h ,35.0 mph,56.3,km/h,35.0,19.8,m,65.0,0,
Vuoristorata,"960 m (3,150 ft)",60 km/h (37 mph),Linnanmäki,Operating,13 July 1951; 70 years ago,Wood – Side friction,"Linnanmäki, led by Svend Jarlström",140 cm (4 ft 7 in),,24 m (79 ft),0.0,Cable lift hill,"48 million FIM (1951);[1]1.62 million EUR (in 2021 euros, inflation-adjusted)[2]","4 trains with 4 cars. Riders are arranged 2 across in 3 rows, except for the brakeman's car at the back in 2 rows, for a total of 22 riders per train.",,2:15[4],"1,320 riders per hour",,Valdemar Lebech[3],,,,,,,,,,,,,,,,,,,,,,1951-01-01,60.1886,24.9417,Wood,1951-07-13,60 km/h ,37 mph,60.0,km/h,37.3,24.0,m,78.7,0,
Giant Coaster (Fuji-Q Highland),"1,432 m (4,698 ft)",80 km/h (50 mph),Fuji-Q Highland,Removed,1966,Steel,Sansei Technologies,,,40 m (130 ft),0.0,Chain lift hill,,,,3:20,,,,,,,,,,,,1997,,,,,,,,,,,,,1966-01-01,35.487,138.78,Steel,1966-01-01,80 km/h ,50 mph,80.0,km/h,49.7,40.0,m,131.2,0,
Daidarasaurus,"2,340 m (7,680 ft)",72 km/h (45 mph),Expoland,Removed,1970,Steel – Dueling,Sansei Technologies,,,28 m (92 ft),0.0,Two chain lift hills,,,,6:33,,,,,,,,,,,,"December 9, 2007",,,,,,,,,,,,,1970-01-01,34.8044,135.5359,Steel,1970-01-01,72 km/h ,45 mph,72.0,km/h,44.7,28.0,m,91.9,0,
Dragon Fyre,"658.5 m (2,160 ft)",80 km/h (50 mph),Canada's Wonderland,Operating,1981,Steel,Arrow Dynamics,122 cm (4 ft 0 in),Custom Looping Coaster,23.8 m (78 ft),4.0,Chain lift,,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Medieval Faire,1:30,,,HUSS Park Attractions,,23.2 m (76 ft),,,,,,,,,,,,,,,,,,,,1981-01-01,43.8445,-79.5407,Steel,1981-01-01,80 km/h ,50 mph,80.0,km/h,49.7,23.8,m,78.1,4,
Ghoster Coaster (Canada's Wonderland),"413.3 m (1,356 ft)",56 km/h (35 mph),Canada's Wonderland,Operating,"May 23, 1981",Wood,Taft Broadcasting,102 cm (3 ft 4 in),,12.5 m (41 ft),,Chain lift hill,,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Planet Snoopy,1:20,,,Curtis D. Summers,,12 m (39 ft),,,,,,,,,,,,,,,,,,,,1981-01-01,43.8438,-79.546,Wood,1981-05-23,56 km/h ,35 mph,56.0,km/h,34.8,12.5,m,41.0,0,
Mighty Canadian Minebuster,"1,166.8 m (3,828 ft)",89.9 km/h (55.9 mph),Canada's Wonderland,Operating,1981,Wood,Canada's Wonderland,122 cm (4 ft 0 in),,27.4 m (90 ft),,Chain lift hill,$1.2M est.,2 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Frontier Canada,2:02,,,Curtis D. Summers,,26.5 m (87 ft),,Fast Lane available,,Out and Back,,,,,,,,,,,,,,,,1981-01-01,43.8392,-79.5419,Wood,1981-01-01,89.9 km/h ,55.9 mph,89.9,km/h,55.9,27.4,m,89.9,0,
Python (Efteling),"750 m (2,460 ft)",75 km/h (47 mph),Efteling,Operating,"April 12, 1981",Steel,Vekoma,120 cm (3 ft 11 in),Double Loop Corkscrew,29 m (95 ft),4.0,Chain lift,"€ 9,4 million",2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Ruigrijk,2:08,1400 riders per hour,3.5,Vekoma,,22 m (72 ft),,,,,,,,,,,,,,Single rider line available,,,,,,1981-01-01,51.6469,5.0536,Steel,1981-04-12,75 km/h ,47 mph,75.0,km/h,46.6,29.0,m,95.1,4,3.5
